x,dangle,x1
366.0,0.017,374.0
374.0,0.017,381.0
381.0,0.017,389.0
389.0,0.017,396.0
396.0,0.017,403.0
403.0,0.017,411.0
411.0,0.017,419.0
419.0,0.017,426.0
426.0,0.017,434.0
434.0,0.017,442.0
442.0,0.017,450.0
450.0,0.017,458.0
458.0,0.017,466.0
466.0,0.017,474.0
474.0,0.017,482.0
482.0,0.017,491.0
491.0,0.017,499.0
499.0,0.017,508.0
508.0,0.017,517.0
517.0,0.017,526.0
526.0,0.017,535.0
535.0,0.017,544.0
544.0,0.017,554.0
554.0,0.017,564.0
564.0,0.017,574.0
574.0,0.017,584.0
584.0,0.017,594.0
594.0,0.017,601.0
601.0,0.017,606.0
606.0,0.017,611.0
611.0,0.017,616.0
616.0,0.017,621.0
621.0,0.017,626.0
626.0,0.017,632.0
632.0,0.017,637.0
637.0,0.017,999.0
637.0,-0.017,632.0
632.0,-0.017,626.0
626.0,-0.017,621.0
621.0,-0.017,616.0
616.0,-0.017,611.0
611.0,-0.017,606.0
606.0,-0.017,601.0
601.0,-0.017,594.0
594.0,-0.017,584.0
584.0,-0.017,574.0
574.0,-0.017,564.0
564.0,-0.017,554.0
554.0,-0.017,544.0
544.0,-0.017,535.0
535.0,-0.017,526.0
526.0,-0.017,517.0
517.0,-0.017,508.0
508.0,-0.017,499.0
499.0,-0.017,491.0
491.0,-0.017,482.0
482.0,-0.017,474.0
474.0,-0.017,466.0
466.0,-0.017,458.0
458.0,-0.017,450.0
450.0,-0.017,442.0
442.0,-0.017,434.0
434.0,-0.017,426.0
426.0,-0.017,419.0
419.0,-0.017,411.0
411.0,-0.017,403.0
403.0,-0.017,396.0
396.0,-0.017,389.0
389.0,-0.017,381.0
381.0,-0.017,374.0
374.0,-0.017,366.0
366.0,-0.017,359.0
359.0,-0.017,352.0
352.0,-0.017,345.0
345.0,-0.017,338.0
338.0,-0.017,331.0
331.0,-0.017,323.0
323.0,-0.017,316.0
316.0,-0.017,309.0
309.0,-0.017,302.0
302.0,-0.017,295.0
295.0,-0.017,287.0
287.0,-0.017,280.0
280.0,-0.017,273.0
273.0,-0.017,265.0
265.0,-0.017,258.0
258.0,-0.017,250.0
250.0,-0.017,243.0
243.0,-0.017,235.0
235.0,-0.017,228.0
228.0,-0.017,220.0
220.0,-0.017,212.0
212.0,-0.017,204.0
204.0,-0.017,197.0
197.0,-0.017,188.0
188.0,-0.017,180.0
180.0,-0.017,172.0
172.0,-0.017,164.0
164.0,-0.017,155.0
155.0,-0.017,146.0
146.0,-0.017,138.0
138.0,-0.017,129.0
129.0,-0.017,120.0
120.0,-0.017,110.0
110.0,-0.017,101.0
101.0,-0.017,91.0
91.0,-0.017,81.0
81.0,-0.017,71.0
71.0,-0.017,60.0
60.0,-0.017,50.0
50.0,-0.017,40.0
40.0,-0.017,35.0
35.0,-0.017,30.0
30.0,-0.017,25.0
25.0,-0.017,20.0
20.0,-0.017,14.0
14.0,-0.017,9.0
9.0,-0.017,3.0
3.0,-0.017,999.0
3.0,0.034,14.0
14.0,0.034,25.0
25.0,0.034,35.0
35.0,0.034,50.0
50.0,0.034,71.0
71.0,0.034,91.0
91.0,0.034,110.0
110.0,0.034,129.0
129.0,0.034,146.0
146.0,0.034,164.0
164.0,0.034,180.0
180.0,0.034,197.0
197.0,0.034,212.0
212.0,0.034,228.0
228.0,0.034,243.0
243.0,0.034,258.0
258.0,0.034,273.0
273.0,0.034,287.0
287.0,0.034,302.0
302.0,0.034,316.0
316.0,0.034,331.0
331.0,0.034,345.0
345.0,0.034,359.0
359.0,0.034,374.0
374.0,0.034,389.0
389.0,0.034,403.0
403.0,0.034,419.0
419.0,0.034,434.0
434.0,0.034,450.0
450.0,0.034,466.0
466.0,0.034,482.0
482.0,0.034,499.0
499.0,0.034,517.0
517.0,0.034,535.0
535.0,0.034,554.0
554.0,0.034,574.0
574.0,0.034,594.0
594.0,0.034,606.0
606.0,0.034,616.0
616.0,0.034,626.0
626.0,0.034,637.0
637.0,0.034,999.0
637.0,-0.034,626.0
626.0,-0.034,616.0
616.0,-0.034,606.0
606.0,-0.034,594.0
594.0,-0.034,574.0
574.0,-0.034,554.0
554.0,-0.034,535.0
535.0,-0.034,517.0
517.0,-0.034,499.0
499.0,-0.034,482.0
482.0,-0.034,466.0
466.0,-0.034,450.0
450.0,-0.034,434.0
434.0,-0.034,419.0
419.0,-0.034,403.0
403.0,-0.034,389.0
389.0,-0.034,374.0
374.0,-0.034,359.0
359.0,-0.034,345.0
345.0,-0.034,331.0
331.0,-0.034,316.0
316.0,-0.034,302.0
302.0,-0.034,287.0
287.0,-0.034,273.0
273.0,-0.034,258.0
258.0,-0.034,243.0
243.0,-0.034,228.0
228.0,-0.034,212.0
212.0,-0.034,197.0
197.0,-0.034,180.0
180.0,-0.034,164.0
164.0,-0.034,146.0
146.0,-0.034,129.0
129.0,-0.034,110.0
110.0,-0.034,91.0
91.0,-0.034,71.0
71.0,-0.034,50.0
50.0,-0.034,35.0
35.0,-0.034,25.0
25.0,-0.034,14.0
14.0,-0.034,3.0
3.0,-0.034,999.0
3.0,0.034,14.0
14.0,0.034,25.0
25.0,0.034,35.0
35.0,0.034,50.0
50.0,0.034,71.0
71.0,0.034,91.0
91.0,0.034,110.0
110.0,0.034,129.0
129.0,0.034,146.0
146.0,0.034,164.0
164.0,0.034,180.0
180.0,0.034,197.0
197.0,0.034,212.0
212.0,0.034,228.0
228.0,0.034,243.0
243.0,0.034,258.0
258.0,0.034,273.0
273.0,0.034,287.0
287.0,0.034,302.0
302.0,0.034,316.0
316.0,0.034,331.0
331.0,0.034,345.0
345.0,0.034,359.0
359.0,0.034,374.0
374.0,0.034,389.0
389.0,0.034,403.0
403.0,0.034,419.0
419.0,0.034,434.0
434.0,0.034,450.0
450.0,0.034,466.0
466.0,0.034,482.0
482.0,0.034,499.0
499.0,0.034,517.0
517.0,0.034,535.0
535.0,0.034,554.0
554.0,0.034,574.0
574.0,0.034,594.0
594.0,0.034,606.0
606.0,0.034,616.0
616.0,0.034,626.0
626.0,0.034,637.0
637.0,0.034,999.0
637.0,-0.034,626.0
626.0,-0.034,616.0
616.0,-0.034,606.0
606.0,-0.034,594.0
594.0,-0.034,574.0
574.0,-0.034,554.0
554.0,-0.034,535.0
535.0,-0.034,517.0
517.0,-0.034,499.0
499.0,-0.034,482.0
482.0,-0.034,466.0
466.0,-0.034,450.0
450.0,-0.034,434.0
434.0,-0.034,419.0
419.0,-0.034,403.0
403.0,-0.034,389.0
389.0,-0.034,374.0
374.0,-0.034,359.0
359.0,-0.034,345.0
345.0,-0.034,331.0
331.0,-0.034,316.0
316.0,-0.034,302.0
302.0,-0.034,287.0
287.0,-0.034,273.0
273.0,-0.034,258.0
258.0,-0.034,243.0
243.0,-0.034,228.0
228.0,-0.034,212.0
212.0,-0.034,197.0
197.0,-0.034,180.0
180.0,-0.034,164.0
164.0,-0.034,146.0
146.0,-0.034,129.0
129.0,-0.034,110.0
110.0,-0.034,91.0
91.0,-0.034,71.0
71.0,-0.034,50.0
50.0,-0.034,35.0
35.0,-0.034,25.0
25.0,-0.034,14.0
14.0,-0.034,3.0
3.0,-0.034,999.0
3.0,0.051000000000000004,20.0
20.0,0.051000000000000004,35.0
35.0,0.051000000000000004,60.0
60.0,0.051000000000000004,91.0
91.0,0.051000000000000004,120.0
120.0,0.051000000000000004,146.0
146.0,0.051000000000000004,172.0
172.0,0.051000000000000004,197.0
197.0,0.051000000000000004,220.0
220.0,0.051000000000000004,243.0
243.0,0.051000000000000004,265.0
265.0,0.051000000000000004,287.0
287.0,0.051000000000000004,309.0
309.0,0.051000000000000004,331.0
331.0,0.051000000000000004,352.0
352.0,0.051000000000000004,374.0
374.0,0.051000000000000004,396.0
396.0,0.051000000000000004,419.0
419.0,0.051000000000000004,442.0
442.0,0.051000000000000004,466.0
466.0,0.051000000000000004,491.0
491.0,0.051000000000000004,517.0
517.0,0.051000000000000004,544.0
544.0,0.051000000000000004,574.0
574.0,0.051000000000000004,601.0
601.0,0.051000000000000004,616.0
616.0,0.051000000000000004,632.0
632.0,0.051000000000000004,999.0
632.0,-0.051000000000000004,616.0
616.0,-0.051000000000000004,601.0
601.0,-0.051000000000000004,574.0
574.0,-0.051000000000000004,544.0
544.0,-0.051000000000000004,517.0
517.0,-0.051000000000000004,491.0
491.0,-0.051000000000000004,466.0
466.0,-0.051000000000000004,442.0
442.0,-0.051000000000000004,419.0
419.0,-0.051000000000000004,396.0
396.0,-0.051000000000000004,374.0
374.0,-0.051000000000000004,352.0
352.0,-0.051000000000000004,331.0
331.0,-0.051000000000000004,309.0
309.0,-0.051000000000000004,287.0
287.0,-0.051000000000000004,265.0
265.0,-0.051000000000000004,243.0
243.0,-0.051000000000000004,220.0
220.0,-0.051000000000000004,197.0
197.0,-0.051000000000000004,172.0
172.0,-0.051000000000000004,146.0
146.0,-0.051000000000000004,120.0
120.0,-0.051000000000000004,91.0
91.0,-0.051000000000000004,60.0
60.0,-0.051000000000000004,35.0
35.0,-0.051000000000000004,20.0
20.0,-0.051000000000000004,3.0
3.0,-0.051000000000000004,999.0
3.0,0.051000000000000004,20.0
20.0,0.051000000000000004,35.0
35.0,0.051000000000000004,60.0
60.0,0.051000000000000004,91.0
91.0,0.051000000000000004,120.0
120.0,0.051000000000000004,146.0
146.0,0.051000000000000004,172.0
172.0,0.051000000000000004,197.0
197.0,0.051000000000000004,220.0
220.0,0.051000000000000004,243.0
243.0,0.051000000000000004,265.0
265.0,0.051000000000000004,287.0
287.0,0.051000000000000004,309.0
309.0,0.051000000000000004,331.0
331.0,0.051000000000000004,352.0
352.0,0.051000000000000004,374.0
374.0,0.051000000000000004,396.0
396.0,0.051000000000000004,419.0
419.0,0.051000000000000004,442.0
442.0,0.051000000000000004,466.0
466.0,0.051000000000000004,491.0
491.0,0.051000000000000004,517.0
517.0,0.051000000000000004,544.0
544.0,0.051000000000000004,574.0
574.0,0.051000000000000004,601.0
601.0,0.051000000000000004,616.0
616.0,0.051000000000000004,632.0
632.0,0.051000000000000004,999.0
632.0,-0.051000000000000004,616.0
616.0,-0.051000000000000004,601.0
601.0,-0.051000000000000004,574.0
574.0,-0.051000000000000004,544.0
544.0,-0.051000000000000004,517.0
517.0,-0.051000000000000004,491.0
491.0,-0.051000000000000004,466.0
466.0,-0.051000000000000004,442.0
442.0,-0.051000000000000004,419.0
419.0,-0.051000000000000004,396.0
396.0,-0.051000000000000004,374.0
374.0,-0.051000000000000004,352.0
352.0,-0.051000000000000004,331.0
331.0,-0.051000000000000004,309.0
309.0,-0.051000000000000004,287.0
287.0,-0.051000000000000004,265.0
265.0,-0.051000000000000004,243.0
243.0,-0.051000000000000004,220.0
220.0,-0.051000000000000004,197.0
197.0,-0.051000000000000004,172.0
172.0,-0.051000000000000004,146.0
146.0,-0.051000000000000004,120.0
120.0,-0.051000000000000004,91.0
91.0,-0.051000000000000004,60.0
60.0,-0.051000000000000004,35.0
35.0,-0.051000000000000004,20.0
20.0,-0.051000000000000004,3.0
3.0,-0.051000000000000004,999.0
3.0,0.068,25.0
25.0,0.068,50.0
50.0,0.068,91.0
91.0,0.068,129.0
129.0,0.068,164.0
164.0,0.068,197.0
197.0,0.068,228.0
228.0,0.068,258.0
258.0,0.068,287.0
287.0,0.068,316.0
316.0,0.068,345.0
345.0,0.068,374.0
374.0,0.068,403.0
403.0,0.068,434.0
434.0,0.068,466.0
466.0,0.068,499.0
499.0,0.068,535.0
535.0,0.068,574.0
574.0,0.068,606.0
606.0,0.068,626.0
626.0,0.068,999.0
626.0,-0.068,606.0
606.0,-0.068,574.0
574.0,-0.068,535.0
535.0,-0.068,499.0
499.0,-0.068,466.0
466.0,-0.068,434.0
434.0,-0.068,403.0
403.0,-0.068,374.0
374.0,-0.068,345.0
345.0,-0.068,316.0
316.0,-0.068,287.0
287.0,-0.068,258.0
258.0,-0.068,228.0
228.0,-0.068,197.0
197.0,-0.068,164.0
164.0,-0.068,129.0
129.0,-0.068,91.0
91.0,-0.068,50.0
50.0,-0.068,25.0
25.0,-0.068,3.0
3.0,-0.068,999.0
3.0,0.068,25.0
25.0,0.068,50.0
50.0,0.068,91.0
91.0,0.068,129.0
129.0,0.068,164.0
164.0,0.068,197.0
197.0,0.068,228.0
228.0,0.068,258.0
258.0,0.068,287.0
287.0,0.068,316.0
316.0,0.068,345.0
345.0,0.068,374.0
374.0,0.068,403.0
403.0,0.068,434.0
434.0,0.068,466.0
466.0,0.068,499.0
499.0,0.068,535.0
535.0,0.068,574.0
574.0,0.068,606.0
606.0,0.068,626.0
626.0,0.068,999.0
626.0,-0.068,606.0
606.0,-0.068,574.0
574.0,-0.068,535.0
535.0,-0.068,499.0
499.0,-0.068,466.0
466.0,-0.068,434.0
434.0,-0.068,403.0
403.0,-0.068,374.0
374.0,-0.068,345.0
345.0,-0.068,316.0
316.0,-0.068,287.0
287.0,-0.068,258.0
258.0,-0.068,228.0
228.0,-0.068,197.0
197.0,-0.068,164.0
164.0,-0.068,129.0
129.0,-0.068,91.0
91.0,-0.068,50.0
50.0,-0.068,25.0
25.0,-0.068,3.0
3.0,-0.068,999.0
3.0,0.085,30.0
30.0,0.085,71.0
71.0,0.085,120.0
120.0,0.085,164.0
164.0,0.085,204.0
204.0,0.085,243.0
243.0,0.085,280.0
280.0,0.085,316.0
316.0,0.085,352.0
352.0,0.085,389.0
389.0,0.085,426.0
426.0,0.085,466.0
466.0,0.085,508.0
508.0,0.085,554.0
554.0,0.085,601.0
601.0,0.085,626.0
626.0,0.085,999.0
626.0,-0.085,601.0
601.0,-0.085,554.0
554.0,-0.085,508.0
508.0,-0.085,466.0
466.0,-0.085,426.0
426.0,-0.085,389.0
389.0,-0.085,352.0
352.0,-0.085,316.0
316.0,-0.085,280.0
280.0,-0.085,243.0
243.0,-0.085,204.0
204.0,-0.085,164.0
164.0,-0.085,120.0
120.0,-0.085,71.0
71.0,-0.085,30.0
30.0,-0.085,3.0
3.0,-0.085,999.0
3.0,0.085,30.0
30.0,0.085,71.0
71.0,0.085,120.0
120.0,0.085,164.0
164.0,0.085,204.0
204.0,0.085,243.0
243.0,0.085,280.0
280.0,0.085,316.0
316.0,0.085,352.0
352.0,0.085,389.0
389.0,0.085,426.0
426.0,0.085,466.0
466.0,0.085,508.0
508.0,0.085,554.0
554.0,0.085,601.0
601.0,0.085,626.0
626.0,0.085,999.0
626.0,-0.085,601.0
601.0,-0.085,554.0
554.0,-0.085,508.0
508.0,-0.085,466.0
466.0,-0.085,426.0
426.0,-0.085,389.0
389.0,-0.085,352.0
352.0,-0.085,316.0
316.0,-0.085,280.0
280.0,-0.085,243.0
243.0,-0.085,204.0
204.0,-0.085,164.0
164.0,-0.085,120.0
120.0,-0.085,71.0
71.0,-0.085,30.0
30.0,-0.085,3.0
3.0,-0.085,999.0
3.0,0.10200000000000001,3.0
